label,regime,avg_action,avg_invested_fraction,avg_overlay_size,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,ann_return,ann_vol
B2_thompson_tf0.40,neutral,0.0,0.9067857142857144,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09321429478214276,0.13682147861091856,0.00014859663177787093,0.5489651058073173,0.1385224789105514,0.11022496664509444
B2_thompson_tf0.40,bear,0.0,0.9198490566037737,0.0,0.0,0.0,none,0.0,0.0,0.0,0.08015095259471687,0.15048270476415673,0.00016756261302959918,0.4828739372313534,0.051003592449332114,0.21702174047792416
B2_thompson_tf0.50,bull,0.0,0.8916269430051814,0.0,0.0,0.0,none,0.0,0.0,0.0,0.10827980166331595,0.11227545723628167,0.00012194181894713727,0.49404560181966234,0.06586117435512025,0.10822718070978396
B2_thompson_tf0.50,neutral,0.0,0.9065822784810126,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09318988248582269,0.13510998497524207,0.0001464947047795538,0.5463417897444125,0.18036139499785375,0.10941872606413335
B2_thompson_tf0.50,bear,0.0,0.9207999999999998,0.0,0.0,0.0,none,0.0,0.0,0.0,0.07936364556999989,0.1602987629641251,0.00017875533485747113,0.48110993911889594,0.07122003643490254,0.20893160043025788
B2_thompson_tf0.60,bull,0.0,0.92564453125,0.0,0.0,0.0,none,0.0,0.0,0.0,0.07447266550527333,0.12204662804970162,0.0001320635589881555,0.49637488568867755,-0.002040794969947652,0.10535387563813546
B2_thompson_tf0.60,neutral,0.0,0.926,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0740000092599999,0.14089709566666442,0.00015275244102314878,0.5453414382669735,0.07199861011308797,0.10281391510186458
B2_thompson_tf0.60,bear,0.0,0.90775,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0922500090774999,0.15959369828479067,0.00017369066984964366,0.4886901863590833,0.05870164329303628,0.12977659528036603
B3_epsilon_greedy_tf0.40,bull,0.0,0.9166362883181443,0.0,0.0,0.0,none,0.0,0.0,0.0,0.08336372084821861,0.08944100818176572,9.675378889441534e-05,0.4952479404292374,0.1317011704479587,0.11099731756372916
B3_epsilon_greedy_tf0.40,neutral,0.0,0.9079795918367347,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09202041724306112,0.11309934354875957,0.0001228798460520883,0.5489651058073173,0.14472946122770353,0.11040095512580152
B3_epsilon_greedy_tf0.40,bear,0.0,0.8991320754716982,0.0,0.0,0.0,none,0.0,0.0,0.0,0.10086793351962253,0.12674927285597476,0.00014172146151658356,0.4828739372313534,0.05528057433173023,0.2063928361347466
B3_epsilon_greedy_tf0.50,bull,0.0,0.9088341968911917,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09116581219715014,0.09916637794793523,0.0001077601140215727,0.49404560181966234,0.07629484903986082,0.11410228345749922
B3_epsilon_greedy_tf0.50,neutral,0.0,0.9046455696202531,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09569621157468342,0.11922861969255304,0.00012935940174869175,0.5463417897444125,0.19551228609806065,0.10896188836654436
B3_epsilon_greedy_tf0.50,bear,0.0,0.9067272727272727,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09392728178799988,0.13704559288145673,0.00015386651409453076,0.48110993911889594,0.07283514523102841,0.20771519427726415
B3_epsilon_greedy_tf0.60,bull,0.0,0.9182031250000001,0.0,0.0,0.0,none,0.0,0.0,0.0,0.08191407168085928,0.10040450360060804,0.00010866463238552249,0.49637488568867755,-0.00034245508620097255,0.10531854141183353
B3_epsilon_greedy_tf0.60,neutral,0.0,0.9120000000000001,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0880000091199999,0.1185283891016047,0.00012866388677909202,0.5453414382669735,0.0694876665583556,0.10251509892306061
