label,regime,avg_action,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,ann_return,ann_vol
full_pipeline,neutral,2.627906976744186,1.1395348837209303,0.4418604651162791,protective_put,0.048139534883720914,0.00021934719356244109,8.210189976303878e-06,0.05534884606926123,0.10261814913395408,0.000109231521519456,0.5391237930066772,0.17360578876465002,0.09763974399116064
full_pipeline,bear,1.36,0.68,0.2,none,0.03,0.00013104510663887882,3.201044600785912e-05,0.11680000845284465,0.10392013173542856,0.00011088243445421176,0.46376885950802316,0.5951401979378231,0.08212065171933512
full_pipeline,bull,1.7092198581560283,0.8156028368794326,0.3404255319148936,none,0.0324113475177305,0.00015090183939615637,2.2716649641226167e-05,0.08255320026039079,0.09896496904907788,0.00010612953305057971,0.5077948163150834,0.15565041583569197,0.09894481708676625
full_pipeline,neutral,1.6,1.06,0.54,none,0.047400000000000005,0.0002690392184494693,4.4153148573959324e-05,0.08800000874624443,0.11363662872573352,0.00012272745701671437,0.5442817113377305,-0.4169455625571303,0.1817631902707277
full_pipeline,bear,2.1311475409836067,0.5409836065573771,0.18032786885245902,none,0.022459016393442624,0.00020295078424260806,1.6884944180565156e-05,0.06327869742325566,0.12518009504104913,0.00013554239639052023,0.40285252591855636,0.4517120837624339,0.20862123976646532
full_pipeline,bull,1.2818181818181817,1.268181818181818,0.6454545454545455,none,0.053681818181818185,0.00024577522358846556,5.830302259905923e-05,0.10709091765870944,0.0923667238847438,9.988515273146438e-05,0.4541309319535989,0.047722916074093014,0.13606572081910434
full_pipeline,neutral,0.75,2.0,0.5625,protective_put,0.0925,0.0003892027505275834,0.00011233834532852201,0.1462500082597572,0.10372025541213735,0.00011034950107402408,0.5319015553402032,-0.43962112264439596,0.11071183058101078
full_pipeline,bear,0.1875,0.875,0.4375,none,0.03375,0.0002115722949787543,5.481023831312588e-05,0.1650000081625993,0.07405910683286969,7.961054614033159e-05,0.4676128948564763,1.4008507438060314,0.09080327854054747
full_pipeline,bull,1.0792079207920793,1.3564356435643565,0.5148514851485149,protective_put,0.05851485148514852,0.00021893383504594663,5.012003046803188e-05,0.1221782262640311,0.1182388599265703,0.00012720649402293648,0.5132376561207737,-0.1251516210357118,0.09982412479274667
full_pipeline,neutral,1.8666666666666667,0.875,0.3,none,0.03675,0.00018569168405664285,8.610438875272652e-06,0.07758334210980171,0.09759127387484041,0.00010635522775099956,0.5257992496104007,0.004562373170898986,0.1316933263513763
full_pipeline,bear,1.1935483870967742,0.3870967741935484,0.12903225806451613,none,0.015483870967741935,0.00015058286274506616,1.8271816034042354e-06,0.10064516996295889,0.09852958802928576,0.00010886871419324873,0.4382452530774166,0.5290673873242114,0.14732963034565896
full_pipeline,bull,1.4285714285714286,0.7080745341614907,0.36645962732919257,none,0.02919254658385094,0.00017212391710139194,8.058999452230442e-06,0.09385094036519484,0.10960662635936824,0.00011868267029626494,0.4788174904923232,-0.04184829838485876,0.09386478808775418
full_pipeline,neutral,0.7777777777777778,0.6388888888888888,0.08333333333333333,none,0.028055555555555556,0.00018930227652122418,3.3194682319158565e-05,0.1283333417851638,0.1136306063805182,0.00012305609008826562,0.5294500005908049,0.2611432339158464,0.10108193670592483
full_pipeline,bear,1.3272727272727274,0.6181818181818182,0.23636363636363636,none,0.025090909090909094,0.0003770814395298483,5.467387213504577e-05,0.10581819039159301,0.12442646954331843,0.00013885117435527195,0.4490835071024501,0.153070339690318,0.2041098278477751
full_pipeline_tf0.50,bull,1.922279792746114,1.1647668393782384,0.5264248704663212,protective_put,0.04860103626943005,0.00025976421776201936,3.103084158133369e-05,0.06724353220099875,0.10147837617537417,0.00010979504853448798,0.4868857720308197,0.059632286507589664,0.1343799321064099
full_pipeline_tf0.50,neutral,1.9493670886075949,0.9772151898734177,0.45569620253164556,none,0.04091139240506329,0.00029288321139999486,3.797102729379724e-05,0.06584811015944837,0.10713668395070665,0.00011611793539750927,0.5308370318705236,0.2385511338178732,0.14092906368526079
full_pipeline_tf0.50,bear,2.149090909090909,0.6945454545454546,0.28,none,0.027018181818181816,0.0003806036399983139,8.594977975424236e-05,0.05520000898012915,0.13779433401162985,0.0001558945468910331,0.4498425391006396,0.22110473710477518,0.30982304484062334
